timestamp,open,high,low,close,volume,quote_volume,trade_count,buy_vol,sell_vol,delta,cum_delta,delta_pct,buy_trades,sell_trades,avg_trade_size,max_trade,large_vol_1btc,large_trades_1btc,whale_vol_5btc,poc_price,poc_buy_vol,poc_sell_vol,footprint_top3,absorption
2025-06-17 05:30:00,106794.53,106828.75,106582.80,106587.18,170.6350,18203548.44,9035,55.0583,115.5767,-60.5184,-60.5184,-35.47,3810,5225,0.01889,4.6991,41.9141,22,0.0000,106680,9.6107,18.1167,106680:9.61:18.12;106670:6.25:21.32;106660:6.12:18.78,NO
2025-06-17 05:35:00,106587.19,106652.94,106157.59,106194.64,254.6723,27080090.14,17185,104.4042,150.2681,-45.8639,-106.3822,-18.01,7663,9522,0.01482,5.0010,45.3579,31,5.0010,106300,13.5946,10.2193,106300:13.59:10.22;106190:8.91:9.29;106180:8.17:7.85,NO
2025-06-17 05:40:00,106194.64,106515.23,106147.55,106231.89,287.3079,30537557.86,14984,182.5329,104.7749,77.7580,-28.6242,27.06,7974,7010,0.01917,10.0000,85.0510,30,35.9675,106300,74.0978,8.0363,106300:74.10:8.04;106240:24.29:5.29;106310:9.51:16.17,NO
2025-06-17 05:45:00,106231.90,106622.40,106115.35,106614.67,149.6006,15923869.32,10404,87.9525,61.6482,26.3043,-2.3199,17.58,6111,4293,0.01438,4.4718,22.5696,11,0.0000,106520,10.1638,5.3836,106520:10.16:5.38;106510:7.94:3.52;106540:2.68:8.67,NO
2025-06-17 05:50:00,106614.68,106837.21,106569.38,106671.55,107.4273,11464469.30,7265,46.6965,60.7309,-14.0344,-16.3543,-13.06,4244,3021,0.01479,5.0000,21.7818,10,5.0000,106660,7.1136,3.2973,106660:7.11:3.30;106730:4.88:4.63;106790:0.28:8.62,NO
2025-06-17 05:55:00,106671.56,106926.62,106671.55,106801.30,143.3453,15310671.73,6918,68.0761,75.2692,-7.1931,-23.5474,-5.02,3689,3229,0.02072,5.6552,28.3299,13,5.6552,106910,1.8300,10.4900,106910:1.83:10.49;106700:5.08:6.33;106900:5.65:4.44,NO
2025-06-17 06:00:00,106801.29,106896.58,106655.98,106792.82,62.8905,6715788.88,7706,34.6268,28.2637,6.3631,-17.1843,10.12,3958,3748,0.00816,1.6232,6.2295,5,0.0000,106860,5.4757,0.0995,106860:5.48:0.10;106760:2.13:2.77;106870:4.37:0.03,NO
2025-06-17 06:05:00,106792.81,106938.27,106734.47,106907.15,62.5136,6679005.23,7358,35.4192,27.0944,8.3248,-8.8596,13.32,4266,3092,0.00850,1.3885,2.5084,2,0.0000,106860,5.7558,0.2603,106860:5.76:0.26;106820:1.54:4.18;106780:3.24:1.85,NO
2025-06-17 06:10:00,106907.15,106993.78,106700.00,106739.99,43.5519,4655272.25,4847,17.9039,25.6480,-7.7442,-16.6038,-17.78,2459,2388,0.00899,1.0694,2.0979,2,0.0000,106960,1.5195,4.0940,106960:1.52:4.09;106980:1.61:1.69;106940:2.74:0.53,NO
2025-06-17 06:15:00,106740.00,106988.88,106740.00,106988.88,48.3421,5165437.87,4857,29.4673,18.8748,10.5925,-6.0113,21.91,3590,1267,0.00995,3.8294,11.3584,6,0.0000,106820,1.6365,6.7536,106820:1.64:6.75;106920:5.74:0.21;106800:3.14:1.22,NO
